species_code	order	scientific_name	common_name	is_resident	breeding_quality	breeding_start	breeding_end	nonbreeding_quality	nonbreeding_start	nonbreeding_end	postbreeding_migration_quality	postbreeding_migration_start	postbreeding_migration_end	prebreeding_migration_quality	prebreeding_migration_start	prebreeding_migration_end	resident_quality	resident_start	resident_end	status_version_year	has_trends	trends_season	trends_region	trends_start_year	trends_end_year	trends_start_date	trends_end_date	rsquared	beta0	trends_version_year
bbwduc	Anseriformes	Dendrocygna autumnalis	Black-bellied Whistling-Duck	FALSE	2	2023-05-10	2023-08-30	2	2023-12-20	2023-03-08	2	2023-09-06	2023-12-13	2	2023-03-15	2023-05-03	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-24	08-02	0.807403307948638	0.3285311299230666	2022
fuwduc	Anseriformes	Dendrocygna bicolor	Fulvous Whistling-Duck	FALSE	2	2023-04-26	2023-08-16	2	2023-11-15	2023-02-08	2	2023-08-23	2023-11-08	2	2023-02-15	2023-04-19	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-10	08-16	0.6280615137166672	0.7110029680902269	2022
empgoo	Anseriformes	Anser canagicus	Emperor Goose	FALSE	2	2023-05-31	2023-06-28	2	2023-11-01	2023-04-26	2	2023-09-13	2023-10-25	2	2023-05-03	2023-05-24	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
snogoo	Anseriformes	Anser caerulescens	Snow Goose	FALSE	2	2023-06-07	2023-08-09	3	2023-01-04	2023-01-25	3	2023-08-16	2023-12-27	3	2023-02-01	2023-05-31	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-27	01-18	0.7749317394522062	0.6067600744283628	2022
rosgoo	Anseriformes	Anser rossii	Ross's Goose	FALSE	2	2023-05-31	2023-06-21	3	2023-01-04	2023-01-18	2	2023-09-06	2023-12-27	3	2023-01-25	2023-05-24	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
gragoo	Anseriformes	Anser anser	Graylag Goose	FALSE	2	2023-05-03	2023-07-05	2	2023-12-13	2023-01-25	2	2023-07-12	2023-12-06	2	2023-02-01	2023-04-26	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
gwfgoo	Anseriformes	Anser albifrons	Greater White-fronted Goose	FALSE	2	2023-06-07	2023-08-02	3	2023-12-27	2023-01-18	2	2023-08-09	2023-12-20	2	2023-01-25	2023-05-31	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-13	01-18	0.7271610022321828	0.7327024903648388	2022
pifgoo	Anseriformes	Anser brachyrhynchus	Pink-footed Goose	FALSE	2	2023-06-14	2023-07-26	3	2023-12-13	2023-01-04	2	2023-09-13	2023-12-06	2	2023-01-11	2023-06-07	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
bargoo	Anseriformes	Branta leucopsis	Barnacle Goose	FALSE	2	2023-06-14	2023-08-23	3	2023-12-27	2023-02-22	2	2023-08-30	2023-12-20	2	2023-03-01	2023-06-07	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
cacgoo1	Anseriformes	Branta hutchinsii	Cackling Goose	FALSE	2	2023-05-31	2023-08-02	3	2023-01-04	2023-01-25	3	2023-08-09	2023-12-27	3	2023-02-01	2023-05-24	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2012	2022	01-04	01-25	0.8138086043862114	0.2063787594696253	2022
cangoo	Anseriformes	Branta canadensis	Canada Goose	FALSE	3	2023-06-21	2023-08-16	3	2023-12-20	2023-01-18	3	2023-08-23	2023-12-13	3	2023-01-25	2023-06-14	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	06-14	08-09	0.8631362427990762	-0.00326273972985882	2022
mutswa	Anseriformes	Cygnus olor	Mute Swan	FALSE	2	2023-04-26	2023-08-30	2	2023-12-20	2023-02-01	2	2023-09-06	2023-12-13	2	2023-02-08	2023-04-19	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	03-08	09-13	0.7182490728880666	0.49065918684863746	2022
truswa	Anseriformes	Cygnus buccinator	Trumpeter Swan	FALSE	3	2023-05-03	2023-08-02	3	2023-12-06	2023-02-15	3	2023-08-09	2023-11-29	3	2023-02-22	2023-04-26	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-06	02-15	0.7682428094631765	0.19235693343535268	2022
tunswa	Anseriformes	Cygnus columbianus	Tundra Swan	FALSE	2	2023-06-07	2023-07-26	3	2023-12-27	2023-02-15	2	2023-08-02	2023-12-20	2	2023-02-22	2023-05-31	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-27	02-15	0.6338581602373765	0.2768658575139027	2022
whoswa	Anseriformes	Cygnus cygnus	Whooper Swan	FALSE	2	2023-05-03	2023-06-28	2	2023-12-20	2023-01-25	2	2023-07-05	2023-12-13	2	2023-02-01	2023-04-26	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
uplgoo1	Anseriformes	Chloephaga picta	Upland Goose	FALSE	3	2023-10-11	2023-03-01	3	2023-05-24	2023-07-26	3	2023-03-08	2023-05-17	3	2023-08-02	2023-10-04	NA	NA	NA	2023	TRUE	breeding	south_america	2014	2021	10-11	03-01	0.6489936525086049	0.5853016987038089	2022
wooduc	Anseriformes	Aix sponsa	Wood Duck	FALSE	3	2023-04-26	2023-06-21	3	2023-12-06	2023-01-25	3	2023-06-28	2023-11-29	3	2023-02-01	2023-04-19	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	04-26	07-26	0.8949111748515769	0.03121406612465329	2022
gargan	Anseriformes	Spatula querquedula	Garganey	FALSE	2	2023-06-07	2023-06-28	2	2023-11-29	2023-02-01	2	2023-07-05	2023-11-22	2	2023-02-08	2023-05-31	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
buwtea	Anseriformes	Spatula discors	Blue-winged Teal	FALSE	3	2023-06-14	2023-07-12	3	2023-12-27	2023-01-25	3	2023-07-19	2023-12-20	3	2023-02-01	2023-06-07	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	06-14	07-12	0.8376501936431044	0.4558095520086923	2022
cintea	Anseriformes	Spatula cyanoptera	Cinnamon Teal	FALSE	3	2023-05-24	2023-07-26	3	2023-12-06	2023-01-18	3	2023-08-02	2023-11-29	3	2023-01-25	2023-05-17	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-24	07-05	0.831585410775303	0.4052268605739068	2022
redsho1	Anseriformes	Spatula platalea	Red Shoveler	FALSE	2	2023-10-11	2023-03-29	2	2023-05-31	2023-08-02	2	2023-04-05	2023-05-24	2	2023-08-09	2023-10-04	NA	NA	NA	2023	TRUE	breeding	south_america	2014	2021	10-11	04-12	0.607621175768409	0.6751042067484962	2022
norsho	Anseriformes	Spatula clypeata	Northern Shoveler	FALSE	2	2023-06-07	2023-07-19	2	2023-01-04	2023-02-01	2	2023-07-26	2023-12-27	2	2023-02-08	2023-05-31	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-20	01-25	0.7303377098809214	0.1870939016219724	2022
gadwal	Anseriformes	Mareca strepera	Gadwall	FALSE	2	2023-06-07	2023-07-26	3	2023-12-20	2023-01-25	2	2023-08-02	2023-12-13	2	2023-02-01	2023-05-31	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	06-07	07-26	0.8520733858349429	0.3323399466885274	2022
eurwig	Anseriformes	Mareca penelope	Eurasian Wigeon	FALSE	2	2023-06-14	2023-07-26	3	2023-12-27	2023-02-08	2	2023-08-02	2023-12-20	2	2023-02-15	2023-06-07	NA	NA	NA	2023	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
amewig	Anseriformes	Mareca americana	American Wigeon	FALSE	3	2023-05-31	2023-08-02	3	2023-12-27	2023-02-01	3	2023-08-09	2023-12-20	3	2023-02-08	2023-05-24	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-13	01-18	0.7219101163632462	0.1837198550018698	2022
mallar3	Anseriformes	Anas platyrhynchos	Mallard	FALSE	3	2023-05-10	2023-07-26	3	2023-01-04	2023-01-25	3	2023-08-02	2023-12-27	3	2023-02-01	2023-05-03	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	06-07	08-16	0.8730917607501213	0.3622787083254657	2022
ambduc	Anseriformes	Anas rubripes	American Black Duck	FALSE	2	2023-05-24	2023-06-28	3	2023-12-13	2023-02-15	3	2023-07-26	2023-12-06	3	2023-02-22	2023-05-17	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-13	02-15	0.7973893180464775	-0.0037932123834704	2022
norpin	Anseriformes	Anas acuta	Northern Pintail	FALSE	2	2023-05-31	2023-07-19	2	2023-12-20	2023-01-25	2	2023-07-26	2023-12-13	2	2023-02-01	2023-05-24	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-20	01-18	0.6687624477819926	0.3254600545287611	2022
yebpin1	Anseriformes	Anas georgica	Yellow-billed Pintail	FALSE	3	2023-09-13	2023-04-05	3	2023-06-07	2023-07-26	2	2023-04-12	2023-05-31	2	2023-08-02	2023-09-06	NA	NA	NA	2023	TRUE	breeding	south_america	2014	2021	09-13	04-12	0.594443743033901	0.851868889460103	2022
gnwtea	Anseriformes	Anas crecca	Green-winged Teal	FALSE	2	2023-05-31	2023-07-19	3	2023-12-27	2023-02-01	3	2023-07-26	2023-12-20	3	2023-02-08	2023-05-24	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-27	01-25	0.7467529684703033	0.20093537415967672	2022
canvas	Anseriformes	Aythya valisineria	Canvasback	FALSE	3	2023-05-31	2023-08-30	3	2023-12-20	2023-01-25	3	2023-09-06	2023-12-13	3	2023-02-01	2023-05-24	NA	NA	NA	2023	TRUE	nonbreeding	north_america	2011	2021	12-20	01-25	0.4774301140916313	0.6750247382405496	2022
redhea	Anseriformes	Aythya americana	Redhead	FALSE	3	2023-05-31	2023-08-23	3	2023-12-27	2023-01-25	3	2023-08-30	2023-12-20	3	2023-02-01	2023-05-24	NA	NA	NA	2023	TRUE	breeding	north_america	2012	2022	05-31	08-23	0.7680220357880797	0.646541807438297	2022
