year	month	from	to	n_jump
2021	1	North-Central	North-Eastern	2
2021	2	North-Central	North-Eastern	2
2021	3	North-Central	North-Eastern	2
2021	4	North-Central	North-Eastern	3
2021	5	North-Central	North-Eastern	2
2021	6	North-Central	North-Eastern	2
2021	7	North-Central	North-Eastern	2
2021	8	North-Central	North-Eastern	4
2021	9	North-Central	North-Eastern	6
2021	10	North-Central	North-Eastern	8
2021	11	North-Central	North-Eastern	4
2021	12	North-Central	North-Eastern	4
2021	1	North-Central	South-Western	1
2021	2	North-Central	South-Western	1
2021	3	North-Central	South-Western	1
2021	4	North-Central	South-Western	1
2021	5	North-Central	South-Western	1
2021	6	North-Central	South-Western	1
2021	7	North-Central	South-Western	1
2021	8	North-Central	South-Western	2
2021	9	North-Central	South-Western	4
2021	10	North-Central	South-Western	6
2021	11	North-Central	South-Western	5
2021	12	North-Central	South-Western	3
2021	1	North-Eastern	North-Central	1
2021	2	North-Eastern	North-Central	1
2021	3	North-Eastern	North-Central	1
2021	4	North-Eastern	North-Central	1
2021	5	North-Eastern	North-Central	1
2021	6	North-Eastern	North-Central	1
2021	7	North-Eastern	North-Central	1
2021	8	North-Eastern	North-Central	1
2021	9	North-Eastern	North-Central	1
2021	10	North-Eastern	North-Central	1
2021	11	North-Eastern	North-Central	2
2021	12	North-Eastern	North-Central	1
2021	1	North-Eastern	South-Western	1
2021	2	North-Eastern	South-Western	1
2021	3	North-Eastern	South-Western	1
2021	4	North-Eastern	South-Western	1
2021	5	North-Eastern	South-Western	1
2021	6	North-Eastern	South-Western	1
2021	7	North-Eastern	South-Western	1
2021	8	North-Eastern	South-Western	1
2021	9	North-Eastern	South-Western	1
2021	10	North-Eastern	South-Western	1
2021	11	North-Eastern	South-Western	1
2021	12	North-Eastern	South-Western	1
2021	1	South-Western	North-Central	1
2021	2	South-Western	North-Central	1
2021	3	South-Western	North-Central	1
2021	4	South-Western	North-Central	1
2021	5	South-Western	North-Central	1
2021	6	South-Western	North-Central	1
2021	7	South-Western	North-Central	1
2021	8	South-Western	North-Central	1
2021	9	South-Western	North-Central	1
2021	10	South-Western	North-Central	1
2021	11	South-Western	North-Central	1
2021	12	South-Western	North-Central	1
2021	1	South-Western	North-Eastern	1
2021	2	South-Western	North-Eastern	1
2021	3	South-Western	North-Eastern	1
2021	4	South-Western	North-Eastern	1
2021	5	South-Western	North-Eastern	1
2021	6	South-Western	North-Eastern	1
2021	7	South-Western	North-Eastern	1
