year	month	from	to	n_jump
2022	1	North	South	1
2022	2	North	South	1
2022	3	North	South	1
2022	4	North	South	1
2022	5	North	South	2
2022	6	North	South	2
2022	7	North	South	3
2022	8	North	South	4
2022	9	North	South	4
2022	10	North	South	3
2022	11	North	South	2
2022	12	North	South	1
2022	1	North	Central	5
2022	2	North	Central	5
2022	3	North	Central	5
2022	4	North	Central	4
2022	5	North	Central	3
2022	6	North	Central	3
2022	7	North	Central	4
2022	8	North	Central	5
2022	9	North	Central	5
2022	10	North	Central	5
2022	11	North	Central	3
2022	12	North	Central	3
2022	1	South	North	1
2022	2	South	North	1
2022	3	South	North	1
2022	4	South	North	1
2022	5	South	North	1
2022	6	South	North	1
2022	7	South	North	1
2022	8	South	North	1
2022	9	South	North	1
2022	10	South	North	1
2022	11	South	North	1
2022	12	South	North	1
2022	1	South	Central	1
2022	2	South	Central	1
2022	3	South	Central	1
2022	4	South	Central	1
2022	5	South	Central	1
2022	6	South	Central	1
2022	7	South	Central	1
2022	8	South	Central	1
2022	9	South	Central	1
2022	10	South	Central	1
2022	11	South	Central	1
2022	12	South	Central	1
2022	1	Central	North	4
2022	2	Central	North	3
2022	3	Central	North	3
2022	4	Central	North	2
2022	5	Central	North	2
2022	6	Central	North	1
2022	7	Central	North	2
2022	8	Central	North	2
2022	9	Central	North	2
2022	10	Central	North	1
2022	11	Central	North	1
2022	12	Central	North	1
2022	1	Central	South	2
2022	2	Central	South	1
2022	3	Central	South	1
2022	4	Central	South	1
2022	5	Central	South	1
2022	6	Central	South	2
2022	7	Central	South	2
2022	8	Central	South	2
2022	9	Central	South	3
2022	10	Central	South	2
2022	11	Central	South	2
2022	12	Central	South	1
2023	1	North	South	1
2023	2	North	South	1
2023	3	North	South	1
2023	4	North	South	1
2023	5	North	South	1
2023	6	North	South	1
2023	7	North	South	1
2023	8	North	South	1
2023	9	North	South	1
2023	10	North	South	1
2023	11	North	South	1
2023	12	North	South	1
2023	1	North	Central	2
2023	2	North	Central	1
2023	3	North	Central	1
2023	4	North	Central	1
2023	5	North	Central	1
2023	6	North	Central	1
2023	7	North	Central	1
2023	8	North	Central	1
2023	9	North	Central	1
2023	10	North	Central	1
2023	11	North	Central	1
2023	12	North	Central	1
2023	1	South	North	1
2023	2	South	North	1
2023	3	South	North	1
2023	4	South	North	1
2023	5	South	North	1
2023	6	South	North	1
2023	7	South	North	1
2023	8	South	North	1
2023	9	South	North	1
2023	10	South	North	1
2023	11	South	North	1
2023	12	South	North	1
2023	1	South	Central	1
2023	2	South	Central	1
2023	3	South	Central	1
2023	4	South	Central	1
2023	5	South	Central	1
2023	6	South	Central	1
2023	7	South	Central	1
2023	8	South	Central	1
2023	9	South	Central	1
2023	10	South	Central	1
2023	11	South	Central	1
2023	12	South	Central	1
2023	1	Central	North	1
2023	2	Central	North	1
2023	3	Central	North	1
2023	4	Central	North	1
2023	5	Central	North	1
2023	6	Central	North	1
2023	7	Central	North	1
2023	8	Central	North	1
2023	9	Central	North	1
2023	10	Central	North	1
2023	11	Central	North	1
2023	12	Central	North	1
2023	1	Central	South	1
2023	2	Central	South	1
2023	3	Central	South	1
2023	4	Central	South	1
2023	5	Central	South	1
2023	6	Central	South	2
2023	7	Central	South	2
2023	8	Central	South	2
2023	9	Central	South	2
2023	10	Central	South	2
2023	11	Central	South	1
2023	12	Central	South	1
