name	date	location
HA|A/goose/Czech_Republic/18520-1/2021|OL636392	2021-09-27	North-Central
HA|A/goose/Czech_Republic/18520-2/2021|OL638145	2021-09-27	North-Central
HA|A/Cygnus_olor/Spain/4087-1/2021|OM943962	2021-12-22	South-Western
HA|A/Anser_anser/Spain/88-3/2022|OM943965	2022-01-11	South-Western
HA|A/Turkey/Spain/140-24/2022|OM943966	2022-01-15	South-Western
HA|A/Anser_anser/Spain/141-6/2022|OM943967	2022-01-14	South-Western
HA|A/Bulbucus_ibis/Spain/343-4/2022|OM943968	2022-01-28	South-Western
HA|A/chicken/Spain/452-1/2022|OM943971	2022-02-07	South-Western
HA|A/Turkey/Spain/490-24/2022|OM943975	2022-02-08	South-Western
HA|A/Anser_anser/Spain/512-2/2022|OM943976	2022-02-04	South-Western
HA|A/chicken/Spain/564-11/2022|OM943979	2022-02-11	South-Western
HA|A/Turkey/Spain/586-4/2022|OM943980	2022-02-14	South-Western
HA|A/chicken/Spain/587-1/2022|OM943981	2022-02-14	South-Western
HA|A/chicken/Spain/622-8/2022|OM943983	2022-02-14	South-Western
HA|A/Anser_anser/Spain/638-6/2022|OM943984	2022-02-17	South-Western
HA|A/Turkey/Spain/645-1/2022|OM943986	2022-02-15	South-Western
HA|A/chicken/Spain/649-4/2022|OM943987	2022-02-16	South-Western
HA|A/Turkey/Spain/1097-6/2022|ON974725	2022-03-16	South-Western
HA|A/Anser_anser/Spain/750-3/2022|ON974879	2022-02-02	South-Western
HA|A/Cygnus/Spain/810-4/2022|ON974880	2022-02-23	South-Western
HA|A/Anser_anser/Spain/1035-1/2022|ON974883	2022-03-14	South-Western
HA|A/Anser_anser/Spain/1124-21/2022|ON974884	2022-03-18	South-Western
HA|A/Turkey/Spain/711-5/2022|ON974886	2022-02-21	South-Western
HA|A/Turkey/Spain/803-7/2022|ON974888	2022-02-26	South-Western
HA|A/Turkey/Spain/830-5/2022|ON974890	2022-03-01	South-Western
HA|A/common_teal/Chelyabinsk/1379-1/2021|OP597612	2021-09-14	North-Eastern
HA|A/goose/Chelyabinsk/1341-3/2021|OP597620	2021-08-08	North-Eastern
HA|A/pelican/Tumen/1032-1/2021|OP597628	2021-07-16	North-Eastern
HA|A/pelican/Tumen/932-1/2021|OP597636	2021-06-29	North-Eastern
