Sequence ID	Sequence name	Collection date	Region	Database
OP377526	HA|A/common eiders/Maine/W22-481B/2022|OP377526	2022-06-12	Central	NCBI
OP698128	HA|A/bottlenose dolphin/Florida/UFTt2203/2022|OP698128	2022-03-30	South	NCBI
OQ734910	HA|A/great-tailed grackle/Kansas/W22-1223C/2022|OQ734910	2022-12-13	Central	NCBI
OQ734948	HA|A/great-tailed grackle/Kansas/W22-1223B/2022|OQ734948	2022-12-13	Central	NCBI
OQ734956	HA|A/great-tailed grackle/Kansas/W22-1223A/2022|OQ734956	2022-12-13	Central	NCBI
OP221041	HA|A/bald eagle/Kansas/W22-197/2022|OP221041	2022-03-13	Central	NCBI
OP221285	HA|A/snow goose/Kansas/W22-199D/2022|OP221285	2022-03-12	Central	NCBI
OP221293	HA|A/snow goose/Kansas/W22-199F/2022|OP221293	2022-03-12	Central	NCBI
OP221301	HA|A/bald eagle/Georgia/W22-194B/2022|OP221301	2022-03-14	South	NCBI
OP221327	HA|A/bald eagle/Florida/W22-195/2022|OP221327	2022-03-13	South	NCBI
OP221335	HA|A/bald eagle/Georgia/W22-202/2022|OP221335	2022-03-01	South	NCBI
OP221343	HA|A/American pelican/Kansas/W22-200/2022|OP221343	2022-03-10	Central	NCBI
OP221350	HA|A/snow goose/Kansas/W22-199A/2022|OP221350	2022-03-14	Central	NCBI
OP221358	HA|A/snow goose/Kansas/W22-199B/2022|OP221358	2022-03-12	Central	NCBI
OP221366	HA|A/bald eagle/South Carolina/W22-205/2022|OP221366	2022-03-01	South	NCBI
OP221382	HA|A/bald eagle/Georgia/W22-194A/2022|OP221382	2022-03-08	South	NCBI
OP221398	HA|A/bald eagle/Florida/W22-189/2022|OP221398	2022-03-03	South	NCBI
OP377322	HA|A/snow goose/North Dakota/N22-06/2022|OP377322	2022-04-08	Central	NCBI
OP377330	HA|A/snow goose/North Dakota/N22-04/2022|OP377330	2022-04-08	Central	NCBI
OP377338	HA|A/black vulture/Virginia/W22-499C/2022|OP377338	2022-06-30	Central	NCBI
OP377372	HA|A/ring-billed gull/Florida/W22-169/2022|OP377372	2022-03-07	South	NCBI
OP377380	HA|A/bald eagle/Virginia/W22-306/2022|OP377380	2022-04-15	Central	NCBI
OP377396	HA|A/muscovy duck/Florida/W22-306/2022|OP377396	2022-04-18	South	NCBI
OP377404	HA|A/bald eagle/North Carolina/W22-186/2022|OP377404	2022-03-08	South	NCBI
OP377412	HA|A/royal tern/Florida/W22-245B/2022|OP377412	2022-03-17	South	NCBI
OP377420	HA|A/gull/Florida/W22-162/2022|OP377420	2022-03-01	South	NCBI
OP377445	HA|A/bald eagle/North Carolina/W22-229/2022|OP377445	2022-03-12	South	NCBI
OP377453	HA|A/black vulture/Florida/W22-168/2022|OP377453	2022-03-07	South	NCBI
OP377461	HA|A/bald eagle/Florida/W22-153B/2022|OP377461	2022-02-28	South	NCBI
OP377486	HA|A/black vulture/Florida/W22-161/2022|OP377486	2022-02-25	South	NCBI
OP377502	HA|A/common tern/Maine/W22-480A/2022|OP377502	2022-06-23	Central	NCBI
OP377534	HA|A/bald eagle/Florida/W22-153A/2022|OP377534	2022-02-28	South	NCBI
OP377542	HA|A/great blue heron/Florida/W22-160/2022|OP377542	2022-02-27	South	NCBI
OP377550	HA|A/common tern/Maine/W22-480B/2022|OP377550	2022-06-23	Central	NCBI
OP377558	HA|A/black vulture/North Carolina/W22-367C/2022|OP377558	2022-05-10	South	NCBI
OP377574	HA|A/black vulture/Florida/W22-167/2022|OP377574	2022-03-04	South	NCBI
OP377582	HA|A/lesser snow goose/North Dakota/ND-10/2022|OP377582	2022-04-08	Central	NCBI
OP377614	HA|A/royal tern/Florida/W22-245A/2022|OP377614	2022-03-12	South	NCBI
OP377622	HA|A/bald eagle/North Carolina/W22-140/2022|OP377622	2022-02-22	South	NCBI
OP470716	HA|A/lesser scaup/Georgia/W22-145C/2022|OP470716	2022-02-12	South	NCBI
OP470749	HA|A/lesser scaup/Georgia/W22-145B/2022|OP470749	2022-02-12	South	NCBI
OP470757	HA|A/lesser scaup/Georgia/W22-145D/2022|OP470757	2022-02-12	South	NCBI
OP470765	HA|A/lesser scaup/Georgia/W22-143/2022|OP470765	2022-02-12	South	NCBI
